"ID";"CommonName";"SeriesAmount";"global_id";"FilmType";"FrameFormat";"Filmino";"Duration";"Year";"ProducingCountry";"FilmStudio";"IsColor";"AgeRestrictions";"CopyQuality";"DigitalVersion";
"Код";"Название";"Количество серий";"global_id";"Тип фильма";"Формат кадра";"Сведения о фильме";"Длительность";"Год выпуска";"Страна";"Студия";"Цветность";"Возрастные ограничения";"Категория качества копии";"Наличие электронной версии копии";
"1430";"Женитьба Бальзаминова";"1";"170812003";"художественный";"широкоэкранный";"";"nested data";"1964";"nested data";"nested data";"цветной";"6+";"2, 3";"нет";
"1432";"Женщин обижать не рекомендуется";"1";"170812004";"художественный";"широкоэкранный";"мелодрама";"nested data";"2000";"nested data";"nested data";"цветной";"6+";"3";"нет";
"1437";"Жизнь прошла мимо";"1";"170812007";"художественный";"широкоэкранный";"драма";"nested data";"1959";"nested data";"nested data";"чёрно-белый";"16+";"2";"нет";
"1446";"Загадка Кальмана 2 серии";"2";"170812011";"художественный";"широкоэкранный";"";"nested data";"1985";"nested data";"nested data";"цветной";"0+";"2";"нет";
"1449";"Заколдованный мальчик";"1";"170812012";"художественный";"широкоэкранный";"";"nested data";"1955";"nested data";"nested data";"цветной";"0+";"1, 2";"нет";
"1451";"Закройщик из Торжка";"1";"170812013";"художественный";"широкоэкранный";"комедия";"nested data";"1925";"nested data";"nested data";"чёрно-белый";"0+";"1";"нет";
"1453";"За прекрасных дам";"1";"170812015";"художественный";"широкоэкранный";"криминальная комедия";"nested data";"1989";"nested data";"nested data";"цветной";"16+";"1, 2";"нет";
"1458";"Звезда и смерть Хоакина Мурьеты";"1";"170812016";"художественный";"широкоэкранный";"рок-опера";"nested data";"1982";"nested data";"nested data";"цветной";"0+";"2, 3";"нет";
"1470";"Золото";"1";"170812021";"художественный";"широкоэкранный";"драма";"nested data";"1969";"nested data";"nested data";"чёрно-белый";"12+";"1, 2";"нет";
"1471";"Золотой ключик";"1";"170812023";"художественный";"широкоэкранный";"";"nested data";"1960";"nested data";"nested data";"чёрно-белый";"0+";"1, 2";"нет";
"1473";"Зори Парижа";"1";"170812024";"художественный";"широкоэкранный";"историческая драма";"nested data";"1936";"nested data";"nested data";"чёрно-белый";"12+";"1";"нет";
"1478";"Иваново детство";"1";"170812025";"художественный";"широкоэкранный";"";"nested data";"1962";"nested data";"nested data";"чёрно-белый";"12+";"2";"нет";
"1489";"И на Тихом океане";"1";"170812029";"художественный";"широкоэкранный";"военная драма";"nested data";"1973";"nested data";"nested data";"цветной";"12+";"1, 2";"нет";
"1490";"Инкогнито из Петербурга";"1";"170812030";"художественный";"широкоэкранный";"";"nested data";"1977";"nested data";"nested data";"цветной";"12+";"3";"нет";
"1492";"Искатели счастья";"1";"170812031";"художественный";"широкоэкранный";"документальный";"nested data";"1936";"nested data";"nested data";"чёрно-белый";"12+";"1";"нет";
"1737";"Последний табор";"1";"170812038";"художественный";"широкоэкранный";"мелодрама";"nested data";"1935";"nested data";"nested data";"чёрно-белый";"12+";"2, 3";"нет";
"1745";"По щучьему велению";"1";"170812042";"художественный";"широкоэкранный";"сказка";"nested data";"1938";"nested data";"nested data";"чёрно-белый";"0+";"1, 2, 3";"нет";
"1757";"Приезжая";"1";"170812048";"художественный";"широкоэкранный";"мелодрама";"nested data";"1977";"nested data";"nested data";"цветной";"12+";"2";"нет";
"1759";"Приключения Буратино";"1";"170812050";"художественный";"широкоэкранный";"";"nested data";"1982";"nested data";"nested data";"цветной";"0+";"3";"нет";
"1760";"Приключения Квентина Дорварда, стрелка королевской гвардии";"1";"170812051";"художественный";"широкоэкранный";"";"nested data";"1988";"nested data";"nested data";"цветной";"12+";"2, 3";"нет";
"1761";"Приходи на меня посмотреть";"1";"170812052";"художественный";"широкоэкранный";"мелодрама";"nested data";"2001";"nested data";"nested data";"цветной";"0+";"2, 3";"нет";
"1769";"Противостояние";"1";"170812055";"художественный";"широкоэкранный";"боевик";"nested data";"2005";"nested data";"nested data";"цветной";"16+";"1";"нет";
"1775";"Путевка в жизнь";"1";"170812060";"художественный";"широкоэкранный";"драма";"nested data";"1931";"nested data";"nested data";"чёрно-белый";"6+";"1, 2";"нет";
"1778";"Пышка";"1";"170812062";"художественный";"широкоэкранный";"экранизация";"nested data";"1934";"nested data";"nested data";"чёрно-белый";"16+";"1, 2";"нет";
"1779";"Пятнадцатилетний капитан";"1";"170812063";"художественный";"широкоэкранный";"";"nested data";"1945";"nested data";"nested data";"чёрно-белый";"0+";"2, 3";"нет";
"1780";"Пять вечеров";"1";"170812064";"художественный";"широкоэкранный";"";"nested data";"1979";"nested data";"nested data";"цветной";"12+";"1, 3";"нет";
"1783";"Радуга";"1";"170812066";"художественный";"широкоэкранный";"военная драма";"nested data";"1943";"nested data";"nested data";"чёрно-белый";"12+";"2";"нет";
