name,track_len,link,genre,artist(s),chart,Explicit_content,monthly_listens_total,artists_likes_total
Хобби,3:24,https://music.yandex.ru//album/22820453/track/104263691,русская поп-музыка,['ANNA ASTI'],75,0,4847753,2120541
Зависим,2:52,https://music.yandex.ru//album/27377356/track/117370317,русский рэп,['Heronwater'],76,1,1332193,97714
Галерея,1:55,https://music.yandex.ru//album/27059545/track/116611571,русский рэп,"['Nasty babe', 'White Boy X']",77,0,1913995,13752
А я тебе душу,2:28,https://music.yandex.ru//album/25864974/track/113847117,русская поп-музыка,"['KALVADOS', 'Татем', 'KASIA']",78,0,6209336,54222
На белом,4:02,https://music.yandex.ru//album/24720291/track/110944794,русский рэп,['Каспийский Груз'],79,1,1266041,1702804
ПЛАКАЛ ГОЛЛИВУД,2:22,https://music.yandex.ru//album/23164374/track/106339740,русская поп-музыка,['Люся Чеботина'],80,0,3749497,1409965
1.Kla$ Pt. 2,1:53,https://music.yandex.ru//album/27401351/track/117424287,русский рэп,"['Oxxxymiron', '1.Kla$']",81,1,3595072,4206008
Проклятый старый дом,4:17,https://music.yandex.ru//album/7019820/track/50688560,панк,['Король и Шут'],82,0,4805309,4044372
Кино,3:04,https://music.yandex.ru//album/10252343/track/64072310,русский рэп,['MACAN'],83,0,5149399,2359908
25 кадр,2:32,https://music.yandex.ru//album/26088987/track/114345082,русский рэп,['A.V.G'],84,0,4406023,287300
Кукла,2:35,https://music.yandex.ru//album/24844942/track/111276286,русская поп-музыка,['Artik & Asti'],85,0,4208954,7897520
Ягода малинка,2:27,https://music.yandex.ru//album/12732172/track/73376988,русская поп-музыка,['ХАБИБ'],86,0,1804918,1075125
Sonne,4:32,https://music.yandex.ru//album/3542/track/43117,индастриал,['Rammstein'],87,0,1840688,2789684
Я так соскучился,6:48,https://music.yandex.ru//album/4714779/track/37258117,панк,['Порнофильмы'],88,0,1857793,1641229
Москва тебя испортила,4:28,https://music.yandex.ru//album/27364340/track/117341626,русский рэп,"['Idris & Leos', 'Navai']",89,0,2644389,151600
С тобой,2:50,https://music.yandex.ru//album/25068779/track/111888791,русский рэп,"['Jakone', 'A.V.G', 'BAGARDI', 'Goro', 'Asatro']",90,0,13509502,375437
Малышка хочет движа,1:43,https://music.yandex.ru//album/26578859/track/115450634,русская поп-музыка,['XOLIDAYBOY'],91,1,3022224,217286
Позвони,3:00,https://music.yandex.ru//album/23521469/track/107314429,русская поп-музыка,"['DJ SMASH', 'NIVESTA']",92,0,4795502,497141
Как любовь твою понять?,4:05,https://music.yandex.ru//album/24175855/track/108924320,русская поп-музыка,['JONY'],93,0,5859275,4798361
Матовый седан,1:45,https://music.yandex.ru//album/26368291/track/114952265,русский рэп,"['daybe', 'ЛЯЛЬКА']",94,0,2342962,20185
sugar,4:12,https://music.yandex.ru//album/12561387/track/72787353,хаус,"['Zubi', 'Ablaikan', 'anatu']",95,0,3389073,12184
Громко играй аппаратура,2:55,https://music.yandex.ru//album/27215517/track/117010441,кавказская музыка,['Ислам Итляшев'],96,0,2035200,1905638
ОГНЕЙ,3:01,https://music.yandex.ru//album/25511786/track/106597497,русский рэп,['SALUKI'],97,1,2406371,212786
Как ты там,2:17,https://music.yandex.ru//album/20907667/track/99902560,русский рэп,['Kamazz'],98,0,1982259,1164475
Bang,2:23,https://music.yandex.ru//album/24583850/track/110566417,электроника,"['Vitor Bueno', 'Unklfnkl', 'Jetlag Music']",99,0,1493668,14822
Делить с тобой (Звёзды в лужах),2:06,https://music.yandex.ru//album/27335955/track/117276354,русская поп-музыка,['R.Riccardo'],100,0,620586,3301
